pm25,pm10,so2,no2,co,纬度,经度, 
21.78,30.57,6.23,4.79,0.27,21.77,100.03, 
22.05,34.76,5.87,7.65,0.31,21.78,100.17, 
22.12,36.52,5.33,8.18,0.32,21.79,100.32, 
22.82,39.4,5.61,10.3,0.36,21.79,100.46, 
24.46,44.31,6.23,14.13,0.41,21.8,100.6, 
24.06,43.23,6.3,14.25,0.41,21.8,100.75, 
23.09,39.62,6.12,11.83,0.38,21.81,100.89, 
21.7,34.22,5.58,7.68,0.33,21.81,101.04, 
21.25,32.72,5.51,7.97,0.32,21.82,101.18, 
21.52,33.07,5.69,9.08,0.33,21.82,101.32, 
21.7,32.35,5.96,7.83,0.31,21.83,101.47, 
21.81,30.38,6.34,5.51,0.28,21.83,101.61, 
21.43,26.59,6.09,1.93,0.24,21.84,101.76, 
29.95,42.65,8.19,7.13,0.47,21.86,107.09, 
24.34,35.51,6.5,7.44,0.47,21.86,107.23, 
23.15,33.5,6.1,7.96,0.47,21.86,107.38, 
24.03,34.27,6.5,8.84,0.48,21.85,107.52, 
25.55,36.47,7.28,10.55,0.52,21.85,107.67, 
26.37,37.97,8.12,12.59,0.58,21.85,107.81, 
27.83,40.58,8.63,14.38,0.65,21.84,107.96, 
27.56,41.36,9.74,16.44,0.72,21.84,108.1, 
26.81,42.21,12.42,21.01,0.8,21.84,108.24, 
24.59,39.08,12.85,19.67,0.77,21.83,108.39, 
21.48,32.56,8.83,12.73,0.65,21.82,108.68, 
21.56,31.62,6.81,10.08,0.61,21.82,108.82, 
22.23,32.65,6.99,11.21,0.62,21.81,108.96, 
23.26,33.73,7,11.58,0.61,21.81,109.11, 
24.28,34.68,6.55,11.33,0.59,21.8,109.25, 
25.47,36.31,6.86,11.71,0.57,21.8,109.4, 
26.47,38.05,7.25,12.36,0.58,21.79,109.54, 
27.65,39.71,7.51,13,0.59,21.79,109.68, 
28.26,41.1,7.73,13.84,0.6,21.78,109.83, 
28.64,42.25,8.19,14.61,0.6,21.77,109.97, 
29.13,43.62,8.72,15.39,0.6,21.77,110.11, 
29.27,44.68,9.44,15.86,0.59,21.76,110.26, 
29.45,45.54,10.1,16.35,0.59,21.75,110.4, 
29.39,45.9,10.99,17.14,0.58,21.75,110.55, 
29.16,45,11.59,17.21,0.56,21.74,110.69, 
29.07,44.06,10.81,15.66,0.53,21.73,110.83, 
